2024 JUMPSTART Training Sessions,,,,,,,,,,,
,,,,,,,,,,,
St Cloud State University,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
8:30-9AM,Team Check-in,,Upper Level,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
9:00-9:15AM,JUMPSTART Kick Off,,Ballroom,,,,,,,,
,,,,,,,,,,,
Room,,Voyageurs South,Voyageurs North,Glacier South,Glacier North,Cascade,Theater,Gallery,Alumni Room,Mississippi,Valhalla
,,,,,,,,,,,
11:15AM - 12:05PM,Round 3,FMEA: The most powerful tool in our team's toolbox,Unraveling Robot Mysteries with Logging and Dashboards,Lumyn Labs Workshop,"Build Fast, Perform Better: Strategies for Quick Robot Construction and the Power of Practice",4607 processes through Scouting and Strategy,Manipulators Part 3,What to Expect When Your Robot is Inspected.,Booster Club Roundtable,Getting off the couch,Media Roundtable
,,Failure Modes and Effects Analysis is a process that mitigates and eliminates failures. You will learn how to use a pit checklist and how to document all robot failures.,"Learn how to use powerful tools to gain insights into your robot's inner workings. Explore DataLogger, AdvantageScope, and dashboards to help optimize your robot and solve issues.","Programmers encouraged to attend! This session will introduce Lumyn Labs, a new hardware startup, and provide a hands-on workshop for getting started with ConnectorX, an all-in-one LED controller and sensor breakout board designed with FRC in mind. Teams that bring a laptop will receive sample hardware to use during the workshop, offering a chance to explore and experiment with our tools.","This presentation will provide proven strategies to streamline your build process, allowing your team to finish your robot quickly and maximize time for testing, iteration, and practice. Learn how to set clear goals, use modular design, and prioritize essential functions to accelerate development. Discover how early completion enables more robust testing, faster troubleshooting, and improved performance on the field.
",Showing the processes and techniques that 4607 uses and thrives on during the season and before it starts,"Part 3: Climbers, Kickers and Power",What to expect when you are inspected.   Tips and advice to make the inspection process smooth and painless.,Discussion booster club support for robotics,Essentially how to be motivated to participate and not just watch others do robotics when you don't know what to do.,"During this session, you will learn about how you can use social media to establish stronger ties within your community, strengthen partnerships with local businesses, and how to maintain proper etiquette on your business and social media platforms."
,,4607,7028,Levi Belland,6045,4607,Mark Durand,8516,Various,3313,Various
,,,,,,,,,,,
,,,,,,,,,,,
Garvey Commons,Lunch,,,,,,,,,,
"

12:05PM - 12:45PM","Robot Showcase - Atwood Memorial Center; First Floor                                          SCSU Tours - Meet in Atwood Memorial Center, First Floor                                               Rooms and common areas are available for teams to use.",,,,,,,,,,
12:45PM - 1:25PM,"Robot Showcase - Atwood Memorial Center; First Floor                                          SCSU Tours - Meet in Atwood Memorial Center, First Floor                                               Rooms and common areas are available for teams to use.",,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1:30PM -   2:20PM,Round 4,Importance of Battery Maintenance,FRC Java Programming,The Long Game: Sustainable Team Practices,Winning on the Field: Drive Team Strategy for FRC Success,Design Team Round Table,Robotbuilder programming your Kit-bot,Nuts and Bolts and Fasteners,Impact Roundtable,"See a need, fill a need",Business within Robotics
,,"We will explain our best practices of wiring and storing batteries. Battery testing, labeling, and other maintenance will be explained.","Don't know where to start with FRC Java programming? Join this session to learn how to get set up and write an FRC Java program. We will cover the tools, learn about the lifecycle of a robot, and the basics of command-based programming.","Robotics teams often face difficult seasons marked by setbacks and change. This session will uncover the core principles that keep a team thriving through these challenges. We will share strategies that have helped Team 6709 S.P.U.D. INC builds resilience and stays adaptable. Whether you’re navigating leadership transitions or funding challenges, this session will equip your team with the tools to succeed.","This presentation dives into the key components of effective drive team operations, including pre-match planning, in-match communication, and post-match evaluation. Learn how to analyze alliance strengths, adapt to your opponents, and make real-time decisions under pressure. Gain insights into the roles and responsibilities of each drive team member and discover how practicing together builds confidence and synergy.",,"First time programmers, use Robotbuilder to program your Robot. Set up Robotbuilder and explore Command Based Programming. ","Learn the different types of fasteners used in the build process.  Also includes a discussion of drill bits, how to measure and identify metric/english threads, pop rivets, and drilling and tapping a hole.","Group discussion about impact essay, presentation, executive summaries, and documentation. Compare and contrast team successes and share ideas.",Many ideas are lost because people never learn how to turn their ideas into actions. Throughout the session we will use the driver ramps to discuss the process of taking an idea and turning it into action. The session will highlight the key points necessary for a successful project.,
,,4607,7028,6709,6045,Various,Corey Applegate,8516,Various,3313,6045
,,,,,,,,,,,
,,,,,,,,,,,
2:25PM - 3:15PM,Round 5,How To Get Started with Powder Coating,Future proofing your code,Robotics Through the Lens,Building Bridges: Gaining School and Community Support for Your FRC Program,Lumyn Labs Workshop,Strategic Design ,FIRST - A Safe Place To Fail,Mentor Roundtable,Teamwork through Emotional Intelligence,Scouting to win: leveling up your data
,,Have you been looking for ways to improve your robot’s visual appeal but don’t want to cover it in stickers or cheap spray paint? Try powder coating! Powder coating is the best way to spice up your robot’s looks while also providing immense benefits the structure and safety of your metal. ,A rundown on how to write your code so that it can be easily understood and built upon in the future," Learn how to choose the most effective photos and videos to tell your story and harness the rhetoric behind visuals to captivate your audience. We will also discuss setting clear goals for your media content and how these goals should shape your social media posts and videos. Join us as we share insights on what to post, what to avoid, and how to make your team’s achievements shine.","This presentation explores strategies to engage administrators, teachers, parents, and local organizations in supporting your team’s mission. Learn how to showcase the value of your program through impactful storytelling, events, and demonstrations. 
","Programmers encouraged to attend! This session will introduce Lumyn Labs, a new hardware startup, and provide a hands-on workshop for getting started with ConnectorX, an all-in-one LED controller and sensor breakout board designed with FRC in mind. Teams that bring a laptop will receive sample hardware to use during the workshop, offering a chance to explore and experiment with our tools.","A step by step guide for optimizing a team design decisions throughout the season. This presentation will outline the type of design decisions teams face from kickoff all the way through championships. In addition, we'll discuss how to factor in a team's unique resource limitations into their robot design. This presentation takes inspiration from Karthik's presentation given at the world championships. ","We all love talking about our successes, but often we learn our best lessons through failure.  FIRST provides a safe environment to try new things and often fail.  Tell us about your failures and how (hopefully) you grew and learned from the experience.   Group discussion",A roundtable to discuss things imoacting Mentors in FRC.,"What if the same strategy to solve problems with your robot could be used with your team? In this innovative FIRST approach to emotional intelligence, Students and Mentors will learn the step-by-step ""programming"" and ""mechanics"" that create personal and team dynamics. Use these tools on and off the field to quickly decode and resolve issues, and build a calm and confident team - from the inside out! ","A first-time seminar on 2549's recent journey through the world of digital scouting. We'll be going over scouting data collection, visualization, and analysis from the perspective of a student who has designed and implemented these processes at competitions to both success and failure. We will discuss how to approach the design of these systems to be easily utilized, and how to implement them to effectively keep students engaged throughout competition. "
,,4607,4607,6709,6045,Levi Belland,Matt C 6045,8516,Various,Amy K 4728,2549
